8.063	3.96
8.032423259	4.546944533
7.918077862	5.03606043
7.558076211	5.52
7.316133329	5.862362829
6.941362829	6.312133329
6.446	6.588076211
6.02206043	6.891077862
5.599944533	7.046423259
5	6.987
4.460055467	7.052423259
3.92093957	6.728077862
3.461	6.698076211
3.143637171	6.284133329
2.680866671	5.919362829
2.339923789	5.549
2.109922138	4.92606043
2.124576741	4.551944533
2.013	4.039
2.120576741	3.460055467
2.162922138	2.93093957
2,342923789	2,429
2,638866671	2,006637171
3,087637171	1,676866671
3,538	1,449923789
3,95693957	1,192922138
4,458055467	1,123576741
5,006	0,964
5,445944533	1,129576741
6,11106043	1,140922138
6,5	1,344923789
7,014362829	1,745866671
7,219133329	2,010637171
7,684076211	2,516
7,810077862	3,07093957
8,009423259	3,523055467
